ds_cidade_usuario,ts_primeiro_acesso,ts_ultimo_acesso,nr_dias_desde_primeiro_acesso,nr_dias_desde_ultimo_acesso,nr_atividades_sinalizadas,nr_atividades_mapeadas,nr_discussoes_forum_postadas,nr_questionarios_abandonados,nr_questionarios_finalizados,vl_medio_tempo_questionario,vl_medio_tempo_questionario_avaliado,vl_desempenho_questionario,nr_intervalos_uso,nr_dias_uso,vl_medio_atividade_diaria,vl_engajamento_usuario_por_intervalo,vl_engajamento_usuario_intradia,nr_interacoes_usuario,nr_dias_engajamento_discussao,nr_dias_engajamento_questionario,nr_engajamento_discussao,nr_engajamento_questionario,nr_questoes_respondidas,nr_questoes_corretas,nr_questoes_erradas,nr_questoes_parciais,vl_desempenho_usuario,vl_media_questoes_por_dia,vl_engajamento_notas,nr_itens_avaliados,nr_itens_nao_respondidos,vl_media_notas,nr_submissoes_codigo,vl_media_submissoes_codigo,vl_submissoes_por_dias_ativos
CIDADE NAO INFORMADA,2023-08-21 13:33:37,2023-08-21 13:34:53,21,21,0,0,0,0,0,,,,0.0,1,5.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
CAMPINAS,2023-05-09 22:45:45,2023-08-15 20:07:24,125,27,0,0,0,1,1,35.0,35.0,,98.0,3,0.5354,,,3,0,2,0,24,4,1,0,0,1.0,,,1,62,1.0,0,,
CAMPINAS,2023-09-07 00:44:11,2023-09-07 01:58:13,5,5,0,0,0,0,1,765.0,765.0,,2.0,2,25.3333,,,2,0,1,0,48,19,1,0,0,1.0,,,1,62,1.0,0,,
CAMPINAS,2023-08-31 17:56:53,2023-08-31 18:19:05,11,11,0,0,0,0,1,132.0,132.0,,0.0,1,19.0,,,1,0,1,0,9,0,1,0,0,1.0,,,1,62,1.0,0,,
BRASILIA,2022-08-24 21:27:37,2023-08-21 21:22:48,383,21,11,27,2,0,27,134816.2593,363847.7,80.86808511,362.0,55,5.719,15.1515,37.7455,55,12,37,31,837,342,290,21,9,0.37464126,0.2092,0.1172,50,141,0.429848393,0,,
CIDADE NAO INFORMADA,2023-08-30 20:50:35,2023-08-30 20:50:35,12,12,0,0,0,0,0,,,,0.0,1,3.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
CIDADE NAO INFORMADA,2023-08-30 18:27:47,2023-09-06 23:36:41,12,5,0,0,0,0,0,,,,7.0,2,3.25,,,2,0,1,0,14,0,1,0,0,,,,0,0,,0,,
CAMPINAS,2023-09-05 12:45:49,2023-09-11 22:25:24,6,0,0,0,0,0,0,,,,6.0,2,0.8571,,,2,0,0,0,0,0,0,0,0,,,,0,0,,0,,
BLUMENAU,2023-02-03 15:00:49,2023-08-30 22:15:37,220,12,0,12,0,0,0,,,,208.0,3,0.1866,,,3,0,0,0,0,0,0,0,0,,,,0,90,,0,,
CAMPINAS,2023-08-30 22:58:23,2023-09-10 22:27:53,12,1,0,0,0,0,2,1454.5,1454.5,,11.0,2,5.3333,,,2,0,1,0,48,59,39,18,0,1.0,,,1,62,1.0,0,,
CAMPINAS,2023-09-07 14:36:00,2023-09-11 21:00:38,4,0,0,0,0,0,4,869.5,869.5,93.42342342,4.0,4,70.6,,,4,3,2,18,115,64,55,5,1,0.991754286,5.25,1.0,21,42,0.99038,6,,6.0
CURITIBA,2022-11-10 10:55:32,2022-11-10 12:26:16,305,305,0,0,0,0,1,2629.0,2629.0,,273.0,4,0.4051,,,4,0,1,0,86,37,14,10,0,0.7674375,,,2,43,0.689916667,0,,
CAMPINAS,2023-08-09 19:05:39,2023-08-09 19:06:40,33,33,0,0,0,0,0,,,,0.0,1,5.0,,,1,0,0,0,0,0,0,0,0,,,,0,0,,0,,
